Sentence,Label
ਔਖਾ ਕੰਮ ਇਹਨਾਂ ਦਾ😂😂,Disappointment
ਭਾਈ ਯਰ ਯ ਲਾਗ ਸਬ ਐਸੇਹ 😂,Neutral
❤ ਕਰਨ ਬਾਈ ਫੁਲ ਚੜਾਈ,Support
"ਜਿੰਨੇ ਬਦਾਮ ਨਿੱਕੇ ਹੁੰਦੇ ਨੂੰ ਘਰਦਿਆਂ ਖਵਾਏ ਤੈਨੂੰ,,, ਏਦਾ ਲੱਗਦਾ°°ਓਹ ਹੁਣ ਲੱਗਣੇ ਸ਼ੁਰੂ ਹੋਏ ਤੈਨੂੰ, 1ਸਾਲ ਤੋਂ😂..ਜਿਉਂਦਾ ਵੱਸਦਾ, ਚੜਦੀ ਕਲ੍ਹਾ ਵਿੱਚ ਰਹਿ💪",Support
"ਉਹ ਭਭੇਂ°°°ਚੌਅ ਕੁੱਤੇ ਹਰਾਮੀ ਬੰਦਿਆ...i ਦਿਲੋ like u bro🥰
(ਤੇਰੇ ਮੂੰਹੋਂ ਹਰਾਮੀ-ਪੁਣਾ) ਬਹੁਤ ਘੈਂਟ ਲੱਗਦਾ 😂
ਤੇਰੀ video ਦੇਖਣ ਤੋਂ ਪਹਿਲਾ ਈ ਹਾਸਾ ਆਉਣਾ ਸ਼ੁਰੂ ਹੋ ਜਾਂਦਾ😂😂💥👍👌",Appreciation
ਸਿਮਰਨ ਭੈਣ ਲਗਦੀ 🤣 🤣 🤣🤣🤣🤣,Neutral
"ਕਰਨ ਤੁਹਾਡੀਆਂ ਸਾਰੀਆ ਵੀਡੀਓ ਨਾਲੋਂ ਬੱਗੇ ਦੀ ਵੀਡੀਓ ਤੇ ਵੱਧ views ਆਏ ਆ, ਲਗਦਾ ਬਹੁਤ ਕੁੜੀਆਂ ਦਾ ਦਿਲ ਟੁੱਟ ਗਿਆ ਤਾਂ ਹੀ ਇਸ ਬੰਦੇ ਦੀ ਵੀਡੀਓ ਵੱਧ ਦੇਖੀ ਗਈ ਆ 😂😂😂",Neutral
ਲੋੜ ਤੋਂ ਜਿਆਦਾ ਮੁੰਡਾ ਸਚ ਬੋਲਦਾ 🤌😘🦅,Appreciation
ਕੀ ਹਾਲ ਨੇ ਬੱਗਾ ਸਾਬ 🤣🤣,Neutral
"ਨੱਚਣਾ ਆਉਂਦਾ ਨਹੀਂ ਫਿੱਟੇ ਮੂੰਹ ਗੋਡਿਆਂ ਦੇ 😂
                    specially written by me for ishan",Hate
ਝੋਟਿਆ ਖਿੱਚ ਕੇ ਰੱਖ ਕੰਮ ❤❤ FULL SUPPORT ❤,Support
ਫਰੈਸ਼ੀ ਨੇ ਪਾਂ ਤੀ ਰਿਕਾਡਿੰਗ 🤣😂,Neutral
ਦੱਤੇ ਭਾਜੀ 💯,Appreciation
ਠਰਕ ਦੀ ਭੁੱਖੀ ਐ ਦੁਨੀਆ ਜਨਾਬ ਇੱਥੇ ਸੱਚੇ ਪਿਆਰ  ਪਰਖ ਨੰਗੇ ਕਰਕੇ ਕਰਦੇ ਨੇ,Hate
ਇਹ ਕਿਦਾਂ ਦਾ ਚੁਣ ਲਿਆ ਮੁੰਡਾ ਸਿਮਰਨ 😬😬,Disappointment
ਸਿਰੇ ਬਾਬੇ ਖਿੱਚ ਕੇ ਰੱਖ ਕੰਮ ਇਹਨਾ ਕੰਜ਼ਰ ਨਚਾਰਾਂ ਦਾ,Hate
ਬਾਈ ਤੇਰੇ ਨਾਲ ਆ ਤੇਰੇ ਲੱਗੇਂ ਤੋਂ ਆ ਜੇ ਕੋਈ ਗੱਲ ਹੋਈ ਤਾਂ ਤੇਰੇ ਨਾਲ ਆ,Support
Bro ਤੇਰੇ ਨਾਲ ਆ ਚੱਕਰ ਨਾ ਮੰਨੀ 💪💪❤️,Support
ਮੱਘਰ ਵੱਖੀ ਪਾੜ ਮਿੱਤਰੋਂ 🤣🐍🚀,Appreciation
17.19 ਕਲਾ ਕਲਣ ਆਉਣ 🙄😂,Neutral
ਤਾੜੀ ਇੱਕ ਹੱਥ ਨਾਲ ਨੀ ਵੱਜ ਦੀਂ,Neutral
ਭੋਰੂ 😂,Hate
ਇਹੋ ਜਿਹੇ roaster ਚਾਹੀਦੇ🔥 ਇਹਨੂੰ ਕਹਿੰਦੇ ਜਿਗਰਾ.. ਇਹਦੇ ਕਰਕੇ ਲੋਕਾਂ ਦੀ ਅੱਖਾਂ ਖੁੱਲ੍ਹਣਗੀਆਂ ਤੇ ਇਹਨਾਂ ਦੀ ਗੁੰਡਾ-ਗਰਦੀ ਸੂਤ ਆਉਣੀ। Thank you Freshy and Karan❤,Appreciation
ਅਮੀਏ ਨੀ ਅਮੀਏ 😂 karan🔥 ਨੇ ਬੱਗੇ ਦਾ ਪਾੜ ਤਾ ਚੱਗਾ 😂 #karandutta 💪🔥,Appreciation
ਇਸ video ਨਾਲ ਹੁਣ ਕਈ ਠਰਕੀ creators ਦੇ ਮਨ ਵਿੱਚ ਡਰ ਪੈ ਜਾਣਾ ਤੇ ਗੱਲ ਕਰਨ ਤੋਂ ਪਹਿਲਾਂ 100 ਵਾਰ ਸੋਚਿਆ ਕਰਨ ਗੇ👀 ਕੁੱਝ ਮਾੜੇ ਲੋਕਾਂ ਦੇ ਭੇਤ  ਖੁੱਲਣ ਕਰਕੇ ਹੋਰ ਵੀ ਮਾੜੇ ਲੋਕ ਹੁਣ ਸੁਧਰਨ ਗੇ God bless you karan veere❤️,Blessing
"ਕਰਨ ਵੀਰੇ ਤੁਹਾਨੂੰ ਜੌ ਦੇਖਦੇ ਆ ਓਹ ਸਾਰੇ ਘੈਂਟ ਬੰਦੇ ਆ ,, ਫੁਕਰੇ ਬੰਦਿਆ ਨੂੰ ਦੇਖਦੇ ਬੀ ਫੁਕਰੇ ਹੁੰਦੇ ਆ ,,, ਕਰਨ ਵੀਰੇ ਡਰਨਾ ਨੇ ਕਿਸੇ ਫੁੱਦੂ ਬੰਦੇ ਕੋਲੋ ,, 👍👍👍👍",Support
"22 ਤੇਰੇ ਨਾਲ ਆ ,,",Support
ਬੱਗੇ ਦੇ ਤਾ ਤਿੱਤਰ ਉੱਡ ਗਏ 😂😂😂,Neutral
ਮਾਏ ਨੀ ਮੁੰਡਾ ਲੁੱਚਾ ਲੱਭਿਆ 🤣🤣🤣,Hate
ਕਿਓਂ ਵਿਆਹ ਤੋਂ ਪਹਿਲਾਂ ਈ ਤਲਾਕ ਕਰਵਾਉਣਾ ਵਿਚਾਰੇ ਦਾ 😅😂🤣😂🤣😂😂🤣🤣🤣😂😂🤣😂,Neutral
ਕਰਨ ਵੀਰੇ ਹੁਣ ਤਾਂ ishan ਬੱਗੇ ਨੂੰ ਮੋਰੀ 🌀 ਨਹੀਂ  ਲੱਭ ਰਹੀ ਹੋਣੀ (G spot) ਲੁਕਣ ਵਾਸਤੇ 🤣🤣🤣😁,Hate
ਪਰ ਇੱਥੇ simran Narula ਦਾ ਤਾਂ ਕੋਈ ਕਸੂਰ ਨੀ,Support
ਕਰਨ ਵੀਰੇ ਦਿਲੋਂ ਪਿਆਰ ਆ ਤੇਰੇ ਨਾਲ ❤️,Support
❤️❤️❤️❤️❤️ ਲਵ ਯੂ ਬਰੌ,Support
ਕਰਨ ਵੀਰੇ ਇਕ ਪਾਸੇ ਗੱਲਾਂ ਲੀਕ ਹੋਣ ਦਈਆਂ ਦੂਜੇ ਪਾਸੇ 🙏ਸਾਡੇ ਬਾਈ🙏 ਦੇ ਗਾਣੇ ਲੀਕ ਹੋਣ ਦਏ ਆ ਚੱਕਰ ਕੀ ਆ 🤪 ਇੰਡੀਆ ਪੰਜਾਬ 🧐 ਚ ਲੀਕ ਲੀਕ ਜ਼ਿਆਦਾ ਨਹੀ ਹੋਣ ਲੱਗ ਗਈ,Support
ਇੱਕੋ ਥਾਲੀ ਦੇ ਚੱਟੇ ਵੱਟੇ ਨੇ ਵੀਰ ਇਹੇ,Disappointment
ਲੱਖਾ ਵਿੱਚੋ ਇੱਕ ਚੁਣੀ ਫਿਰਦੀ 🤣🤣🤣 love you bro ❤️,Support
ਓਹੋ ਉਸਤਾਦ ਜੀ ਗ਼ਲਤ ਹੋ ਗਿਆ 😂,Disappointment
"22 ਤੇਰੇ ਨਾਲ ਆਹ ਅਸੀਂ ਪੰਜਾਬ ਤੋਹ ਆਹ
ਤੇਰੇ ਨਾਲ ਆਹ bro...",Support
"ਸਾਰੀਆਂ ਆਡੀਓ ਇੱਕੋ ਵਾਰ ਨਾ viral ਕਰ ਦਿਓ। ਹੁਣ ਆਪਣੀ ਘਰਵਾਲੀ ਤੋਂ ਮੁਆਫ਼ੀ ਮੰਗੂਗਾ, ਫਿਰ ਮਹੀਨੇ ਕੁ ਬਾਅਦ ਦੂਜੀ ਆਡੀਓ। ਫਿਰ ਅਗਲੇ ਮਹੀਨੇ ਤੀਜੀ ਆਡੀਓ... ਏਦਾਂ ਸਾਲ ਕੁ ਚਲਾਓ ਕੰਮ.... ਹਾਹਾ",Neutral
ਇਸ਼ਾਣ ਝੱਗਾ ਤੋ ਡਰਨ ਦੀ ਕੋਈ ਲੋੜ ਨਹੀਂ ਵੀਰ ਅਸੀ ਸੱਚ ਦੇ ਨਾਲ ਖੜੇ ਹਾਂ,Support
ਅੰਮੀਏ ਨੀਂ ਅੰਮੀਏ ਨੀ ਅੰਮੀਏ....ਮੈਂ ਮੁੰਡਾ ਲੂਚਾ ਜਿਹਾ ਚੁਣੀ ਫਿਰਦੀ....🤣🤣🤣🤣🤣🤣🤣🤣,Hate
ਤੁਸੀ ਬਹੁਤ ਚੰਗੇ ਹੋ ਜੀ,Appreciation
Awesome ਤਰੀਕੇ ਨਾਲ ਜੜ੍ਹਾਂ ਹਿਲਾਉਂਦਾ ਇਹ ਵੀਰ।।।।।।🤣,Appreciation
"Bai roaster ਬਣਨਾ ਕੋਈ ਖੇਡ ਨਈ ਹੁੰਦੀ।।।।।।।💞💞💞 ਹਰ ਕਿਸੇ ਦੇ ਵਸ ਦੀ ਗੱਲ ਨਈ ਏਹ,,,,",Appreciation
ਹੇ ਭਗਵਾਨ  ਕਿਆ ਕਿਆ ਸੁਣਨਾ ਪੜ ਰਹਾ ਹੈ,Disappointment
ਸਿੰਮੂ 😅😅,Neutral
ਬੱਗਾ😅😅,Neutral
ਹੋ ਗਏ ਤਲਾਕ ਸਮਜੋ 😂,Neutral
ਕੱਪਲ ਪਾਪਾ ਨੂੰ ਭਾਜੜਾ ਪਾ ਦਿੱਤੀਆਂ 🤣🤣🤣🤣,Neutral
ਤੇਰੀ ਮਾਂ ਦੀ ਫੂਦੀ ਫੂਦੂ movie,Hate
ਧੁੱਤਾ 😅😅 ver😊,Neutral
ਧੂਤਾ ver🎉🎉🎉🎉,Neutral
ਸਵੈਟਰ ਬੁਣ ਦੋ ਉਪਰ ਤਕ😂😂❤,Neutral
"ਓਏ ਨਚਾਰਾ ਤੇਰੀ ਐਨੀ ਚੜਾਈ ਸੀ,ਆ ਤਾਂ ਨੀਵੇਂ ਪੱਧਰ ਦੀ ਐਕਟਿੰਗ ਕੀਤੀ ਆ,  ਡਾਇਰੈਕਟਰ ਤੈਨੂੰ ਇਸ ਤੋਂ ਚੰਗਾ ਨਚਾ ਸਕਦਾ ਸੀ ਪਰ ਤੂੰ ਬਹੁਤ ਹੀ ਮਾੜਾ ਨਚਿਆ ਯਾਰ ਚੰਗੀ ਗੱਲ ਨੀ ਤੂੰ ਕਿਨਾ ਚੰਗਾ ਨਚਾਰ ਤੇ ਐਕਟਰ ਹੈ ਪਰ ਇੱਥੇ ਹੀ ਚੰਗਾ ਨੀ ਨੱਚਿਆ ਤੇਰੇ ਨਚਾਰ ਹੋਣ ਬਾਰੇ ਮਾੜੀ ਗੱਲ ਹੈ ਯਾਰ ਚੰਗਾ ਨੱਚ ਯਰ, ਦਿਲਜੀਤ ਤੇਰੀ ਐਕਟਿੰਗ ਤਾਂ ਬਹੁਤ ਸੋਹਣੇ ਹੁੰਦੀ ਹੈ ਪਰ ਇੱਥੇ ਕਿਉਂ ਮਾਰ ਖਾ ਗਿਆ ਯਾਰ ਤੂੰ ਐਨਾ ਚੰਗਾ ਨਚਾਰ ਹੈ ਦਿਖਾ ਯਾਰ ਨੱਚ ਕੇ",Hate
ਸ਼ਰਮ ਕਰੋ ਭਾਬੀ ਰਣਜੀਤ ਹੱਦ ਹੋਗੀ ਟੈਲੰਟ ਨੀ ਚਵਲਾ ਮਾਰਕੇ ਵੀ ਮੂਵੀ ਮਿਲਦੀ ਆ ਏਨੇ ਲੋਕ ਮੇਹਨਤ ਕਰਦੇ ਆ ਉਨ੍ਹਾਂ ਨੂੰ ਮੋਕਾ ਦੇਣਾ ਚਾਹੀਦਾ ਸੀ.,Disappointment
ਹੁਣ ਸਿਰਫ ਧੂਤੇ ਕਰਕੇ ਫਿਲਮ ਦੇਖਣ ਜਾਵਾਂਗੇ,Neutral
ਇਹਨਾਂ ਨੂੰ ਹਲਕੀ ਕਮੇਡੀ ਤੇ ਮਹਿਣੇਆ  ਬਿਨਾਂ ਕੁਝ ਨਹੀਂ ਔੜ ਦਾ,Disappointment
ਧੂਤਾ ਵੀ,Hate
ਐਨਾ ਖਰਚਾ ਫੁੱਦੂ ਜਿਹੀ ਸਟੋਰੀ ਭਾਜੀ ਮੁੱਦਿਆਂ ਤੇ ਆਉਣ ਆਲੀਆਂ ਫਿਲਮਾਂ ਕਿਉਂ ਛੱਡ ਦਿੱਤੀ ਆਂ,Hate
ਉਈ ਫੁਦੂ ਜੀਆ ਗੱਲਾ ਕਰੀ ਜਾਊ ਮੈ ਮਾਰਿਅਆ ਨਾ ਮੈ ਮਾਰਿਆ ਨਾ ਇਹ ਡਾਇਲਾਗ ਬਹੁਤ ਪੁਰਾਣਾ,Hate
"ਫਿਲਮ ਬਾੜੇ ਕੀ ਕਹਿਣਾ ਅਸੀ ਬੇਇਮਾਨ ਅਰਜਨ ਨੇ ਬਸ  ਦਲਜੀਤ ਪਾਜੀ ਨੀਰੂ ਮੈਡਮ  ਕਮਾਲ ਦੇ ਅਦਾਕਾਰ ਨੇ ਬਾਕੀ ਦਲਜੀਤ ਪਾਜੀ ਦੀ ਮਾਂ ਦਾ ਰੋਲ ਕਰਨ ਵਾਲੀ ਮਾਤਾ ਜੋ ਬੋਲ ਬੋਲੇ ਓ ਗਲਤ ਨੇ 
ਰਾਂਝਾ, ਮਿਰਜ਼ਾ,ਪੂੰਨੁ , ਮਹੀਂਵਾਲ ਬਾੜੇ
( ਮਰੇ ਨਾ ਫਿਰ ਕੁਤੇ ਦੀ ਮੋਤ ) ਜਿਨਾਂ ਦਾ ਹਾਸਾ ਨਿਕਲੀਆਂ ਨਿਕਲੇ ਬਾਕੀ ਰੱਬ ਦੇ ਆਖਿਰ ਹਰ ਇੱਕ ਇਨਸਾਨ ਨੇ ਜਾਨਾ ਬਸ ਮੈਂ ਨਿਮਾਣਾ ਏ ਗਲ ਕੇਹਂਦਾ ਕੇ ਬੋਲਕ ਬੋਲ ਨੀ ਬੋਲੀ ਦਾ ਤੇਰੇ ਮੜੇ ਤੇ ਵੀ 1 ਦਿਨ ਰੋਨਾ ਜਿਨਾ ਵਿੱਚ 99% ਲੋਕ ਵਿਖਾਵਾ ਹੋਵੇ ਗਾ 
🙏 ਬਾਕੀ ਖੁਸ਼ ਰਹੋ ਅਬਾਦ ਰਹੋ 🙏 ਮਿੱਤਰਾ ਦਾ ਰੱਬ ਰਾਖਾ",Disappointment
ਘੈਂਟ ਜੱਟ ❤👍👍👍sirtaaaa ਦਿਲਜੀਤ ਇਸ ਤੋਂ ਉੱਪਰ ਨਹੀਂ ਹੋ ਸਕਦਾ,Appreciation
"*ਬੁੱਢੀ ਘੋੜੀ ਲਾਲ ਲਗਾਮ.
 ਨਾਮ ਨਾ ਕੋਈ ਹੈ ਬੇਨਾਮ.
ਢੋਲੀ ਫਟਿਆ ਢੋਲ ਬਜਾਵੇ,
ਨਾ ਨਸ਼ਾ ਨਾ ਹੈ ਉਹ ਜਾਮ.*",Neutral
ਕੱਚੀ ਕੱਚੀ ਭਾਲਦਾ 👌👌👌,Appreciation
ਧੁੱਤਾ ਵੈਲੀ ❤❤,Appreciation
ਸਾਡਾ ਪੁੱਤ ਧੁਤੇ ਲਈ ਜਰੂਰ ਦੇਖਣ ਜਾਵਾਗੇ ਪੂਰੇ ਪਰੀਵਾਰ ਨਾਲ❤❤❤❤,Appreciation
ਦਿਲਜੀਤ ਦੁਸਾਂਝ ਬਹੁਤ ਵਧੀਆ ਇਨਸਾਨ ਏ ਗਰੀਬਾਂ ਮਸ਼ੀਨਾਂ ਏ ਸਲੂਟ ਏ ਦਲਜੀਤ ਵੀਰੇ,Appreciation
ਮਾਫ਼ ਕਰਨਾ ਦੋਸਾਂਝ ਸਾਬ ਮੈਂ ਤਾਂ Kalki 2898AD of Prabhas ❤❤the Bahubali ਦੇਖਣ ਜਾਣਾ ਉਹਦੇ ਵਿੱਚ ਤੁਹਾਡਾ ਸੌਂਗ ਭੈਰਵਾ ਐਂਥਮ ਆ❤❤ 28 ਨੂੰ ਤੁਹਾਡੀ ਮੂਵੀ ਦੇਖੂਗਾ ਪੰਜਾਬੀ ਵਿੱਚ ਧੰਨਵਾਦ ਜੀ❤❤❤ ਮੇਰਾ ਪਿੰਡ ਰਸੂਲਪੁਰ ਮੱਲ੍ਹਾ ❤,Appreciation
ਧੂਤੇ ਨੂੰ ਦੇਖਣ ਜਾਣ ਵਾਲੇ ਲਾਇਕ ਕਰੋ।,Appreciation
ਜਸਵਿੰਦਰ ਭੱਲਾ ਹੁੰਦਾ ਜਦਾ ਗੱਲ ਬਣ ਨੀ ਸੀ,Disappointment
ਨੀਰੂ ਗੰਦ ਫੁੱਦੂ ਲੰਡਦੂ ਤੀਮੀ,Hate
"ਦਿਲਜੀਤ ਬਾਈ ਬਹੁਤ ਇਜ਼ੱਤ ਕਰਦੇ ਹਾਂ ਤੇਰੀ, ਆਹ ਗੰਦ ਦਾ ਟੋਕਰਾ ਨੀਰੂ ਲੁੱਚੀ ਤੀਮੀ ਨਾਲ ਨਾ ਆਇਆ ਕਰ, ਇਹਦਾ ਪੋਰਨ ਸਤਾਰਾਂ ਵਰਗਾ ਮੂੰਹ ਹੈ, ਇਸ ਚਾਵਲ ਲੰਦੂ ਤੀਮੀ ਕਰਕੇ ਤੈਨੂੰ ਪੰਜਾਬੀ ਮੂੰਹ ਲਾਉਣੋਂ ਹੱਟ ਜਾਣਗੇ",Hate
ਚੁੰਮਿਆ ਵਾਲੀ ਭਾਬੀ 2:42,Neutral
ਭਾਬੀ ਚੁੰਮਿਆਂ ਵਾਲੀ ਦੀ ਜ਼ਬਰਦਸਤ ਐਂਟਰੀ,Neutral
ਪੰਜਾਬੀ ਫਿਲਮ ਸਟਾਰ ਦਿਲਜੀਤ & ਨੀਰੂ ਬਾਜਵਾ ❤❤,Appreciation
ਜਸਵਿੰਦਰ ਭੱਲਾ ਨੂੰ ਮਿਸ ਕਾਰਦੇ ਹੈ,Disappointment
ਚੁੰਮੇ ਵਾਲੀ babhi kine kine note ਕੀਤੀ 😂😂😂 2:43 te,Appreciation
"ਸਾਲੇ ਕੁੱਤਿਆ ਦੇ , ਸਾਰੇ ਕਲਾਕਾਰ ਬਾਹਰ ਰਹਿੰਦੇ ਆ , ਸਾਲੇ ਫਿਲਮਾ ਬਣਾਉਣ ਪੰਜਾਬ ਚ ਆਉਂਦੇ ਆ , ਸਾਲੇ ਕਰਦੇ ਕੁਝ ਨਹੀ ਪੰਜਾਬ ਦੀ ਤਰੱਕੀ ਲਈ",Hate
ਧੂਤਾ ਸਿਰਾ,Appreciation
ਮੈਂ ਤਾਂ ਚੁੰਮੇ ਵਾਲੀ ਭਾਬੀ ਕਰਕੇ ਫਿਲਮ ਦੇਖਣ ਜਾਣਾ😂😂,Appreciation
ਧੁੱਤੇ ਜੱਟ ਨੂੰ ਪਿਆਰ ਕਰਨ ਆਲੇ ਲਾਇਕ ਕਰੋ,Appreciation
Fan off dhutta ਜੱਟ ਐਂਡ ਦਿਲਜੀਤ ਖੰਡ,Appreciation
"Awesome,,,,,,, ਬਸ ਇਸਤੋਂ ਇਲਾਵਾ ਕੋਈ ਲਫਜ਼ ਈ ਹੈਨੀ ਤਰੀਫ ਲਈ",Appreciation
ਧੂਤਾ ਬਾਈ😂😂😂😂😮,Appreciation
ਮਰੇ ਨਾ ਫਿਰ ਕੁੱਤੇ ਦੀ ਮੌਤ 😂😂😂,Appreciation
ਚੰਨ ਕਹਿ ਸਕਦਾ ਜੀ ਰਾਹੁ ਕੇਤੂ ਨਹੀਂ ਨਾਲੇ ਗ੍ਰਹਿ ਦਾ ਇਲਾਜ਼ ਹੈਗਾ 😂😂😂,Appreciation
ਫਿਲਮ ਸਿਰਫ ਧੂਤੇ ਕਰਕੇ ਦੇਖਣ ਜਾਵਾਂਗੇ 😂😂,Appreciation
ਧੂਤਾ ਸਾਡਾ ਯਾਰ ਬੱਸ ਧੂਤੇ ਲਈ ਦੇਖਣੀ ਆ ਫਿਲਮ,Appreciation
ਪ੍ਰੁੰ ਪ੍ਰਾਂਤ ਦੇ ਬਾਅਦ ਜਾ ਕੇ ਪੰਜਾਬੀ ਟ੍ਰੇਲਰ ਦੇਖ ਕੇ ਸੁਆਦ ਆਇਆ❤। ਜੀਉ 🤗,Appreciation
ਪਹਿਲਾਂ ਵਾਲੀਆਂ ਜੱਟ ਜੂਲੀਅਟ ਫਿਲਮਾਂ ਵਾਂਗ ਹੀ ਇਸ ਫਿਲਮ ਵਿੱਚ ਪਾਪਿਆਂ ਦੇ ਵੇਚਾਂ ਤੇ ਮਾਰੀ ਜਾ ਰਿਹਾ ਪਹਿਲਾਂ ਵਾਲੀਆਂ ਫਿਲਮਾਂ ਵਾਂਗ ਹੀ ਇਸ ਜੱਟ ਜੁਲੀਅਟ ਵਿੱਚ ਵੀ ਪਾਪਾ ਕਾਸਟ ਦੀ ਪਾਪਾ ਤੋਂ ਜੀ ਨਖੇਦੀ ਕਰੀ ਆ ਜੀ ਆ ਇਸ ਤਰਾਂ ਦਾ ਕਦਮ ਕੋਈ ਹੋਰ ਕਲਾਕਾਰ ਨੇ ਬਬੂਮਾਨ ਵਰਗੀ ਨਹੀਂ ਇਹ ਕਿਸੇ ਨੇ ਚੱਕਿਆ ਹੁੰਦਾ ਤਾਂ ਲੋਕਾਂ ਨੇ ਗੱਲਾਂ ਉਠਾਉਣ ਸੀ ਪਰ ਦਲਜੀਤ ਵਾਰੀ ਕਿਉਂ ਚੁੱਪ ਪਈ ਬੋਲੋ ਹੋਰ ਨਹੀਂ ਜੇ ਬੋਲਦੇ ਪਾਪਾ ਕਾਸਟ ਤਾਂ ਬੋਲੇ ਬਈ ਆਪਾਂ ਖੂਨ ਤਾਂ ਬੋਲੇ ਜਿਹੜੀਆਂ ਅੰਮ੍ਰਿਤਸਰ ਸਾਹਿਬ ਤੇ ਇੰਨੀ ਬੈਠੀ ਵੀ ਪਾਪੀ ਜੀ ਜੀ ਬਿਨਾਂ ਗੱਲ ਤੋਂ ਦੂਰ ਹੋ ਜਾਂਦੇ ਉਸ ਦੇ ਜਾਂ ਕਿਸੇ ਹੋਰ ਦੇ ਜਾ ਆਪਣੇ ਘਰਦਿਆਂ ਤੋਂ ਵੀ ਇਹ ਗਲਤ ਆਪਾਂ ਆਪਣਿਆਂ ਦੀ ਨਿਖੇਦੀ ਆ ਭਾਪਿਆਂ ਦੀ ਸਰੇਆਮ ਨਖੇਦੀ ਕਰ ਰਿਹਾ ਫਿਲਮ ਵਿੱਚ ਸੈਂਸਰ ਬੋਰਡ ਨੂੰ ਕਹਿ ਕੇ ਪਾਪਾ ਕਾਸਟ ਇਹਨਾਂ ਦੇ ਪੁਤਲੇ ਫੂਕੇ ਤੇ ਜਿੰਨੀ ਪਾਪਿਆਂ ਦੇ ਸੀਨੇ ਦੇ ਵਿੱਚ ਜਿੰਨਾ ਚ ਬੇਜਤੀ ਕਰੀਏ ਆਪਾਂ ਘੁੰਮ ਦੀ ਉਹ ਸਾਰੇ ਸੀਨ ਸੈਂਸਰ ਬੋਰਡ ਤੋਂ ਕਟਵਾਏ ਜਾਣ,Disappointment
